participant_id,model_size,personality_context_enabled,topic_preference,engagement_score,coherence,windowed_coherence,topic_consistency,novelty,turn_balance,token_balance,question_rate,engagement_sensitivity_no_turn_balance
P-41FE7B6C8E,small,0,low,0.597390516757062,0.6795806342905218,0.7024162926457145,0.590579307327668,0.3204193657094782,1.0,0.2585148514851485,0.20833333333333331,0.552656129730069
P-41FE7B6C8E,small,1,high,0.5826919948738634,0.6808123778213154,0.7025099044496363,0.537210547675689,0.31918762217868457,1.0,0.4521303258145363,0.16666666666666666,0.536324438748737
P-41FE7B6C8E,small,1,low,0.5884307367332055,0.6526465172117407,0.6927733258767561,0.5688904325167338,0.34735348278825934,1.0,0.31910896403650024,0.20833333333333331,0.5427008185924505
P-44138CFA98,medium,0,high,0.6032811330800707,0.710020506923849,0.7271222174167633,0.6217731945216656,0.2899794930761511,1.0,0.8729702500888942,0.125,0.5592012589778563
P-44138CFA98,medium,0,low,0.5922484024004504,0.6613386598500338,0.6991173977201635,0.5981219510237377,0.3386613401499662,1.0,0.3438061848256023,0.16666666666666666,0.5469426693338336
P-44138CFA98,medium,1,high,0.5867742279262254,0.6751634871417826,0.7100884142247113,0.615367648502191,0.3248365128582174,1.0,0.8819591261451727,0.041666666666666664,0.5408602532513616
P-44138CFA98,medium,1,low,0.6060799412655108,0.6766330626877871,0.7279162108898163,0.6725002974271774,0.32336693731221283,1.0,0.8534428794992175,0.08333333333333333,0.5623110458505676
P-44138CFA98,small,0,high,0.5713256672927827,0.6664965396577661,0.6995550475337289,0.5738250191013018,0.3335034603422338,1.0,0.3083535108958838,0.0,0.5236951858808696
P-44138CFA98,small,0,low,0.5669282048714883,0.6532864706082777,0.6847478964112022,0.531583225975434,0.3467135293917223,1.0,0.27755577755577754,0.08333333333333333,0.518809116523876
P-44138CFA98,small,1,high,0.5699292095998924,0.6207540116526864,0.6766275871883739,0.5501414549847443,0.3792459883473136,1.0,0.5273809523809524,0.125,0.5221435662221026
P-44138CFA98,small,1,low,0.5651251810292404,0.634075403213501,0.6790082156658173,0.5379133212069671,0.365924596786499,1.0,0.39623287671232876,0.08333333333333333,0.5168057566991558
P-482AABB718,medium,0,high,0.5873637362863078,0.6734653955156154,0.7070259749889374,0.6430600086847942,0.3265346044843847,1.0,0.7911837148652565,0.0,0.5415152625403421
P-482AABB718,medium,0,low,0.5997216357426209,0.7163382931189104,0.7430666522546248,0.6057057132323582,0.28366170688108966,1.0,0.8204718112754898,0.08333333333333333,0.5552462619362455
P-482AABB718,medium,1,high,0.5882432898337191,0.6811015849763697,0.6995499784296209,0.6302823449174563,0.3188984150236303,1.0,0.724937343358396,0.041666666666666664,0.5424925442596878
P-482AABB718,medium,1,low,0.5960319091424797,0.6749900579452515,0.6983888122168455,0.652609037856261,0.32500994205474854,1.0,0.8818146417445483,0.08333333333333333,0.5511465657138664
P-482AABB718,small,0,high,0.5778277172961018,0.7029008865356445,0.7241183627735485,0.5219031137724718,0.29709911346435547,1.0,0.8658579465541492,0.08333333333333333,0.5309196858845575
P-482AABB718,small,0,low,0.5789045421688845,0.6714841858907179,0.7018896774812178,0.544390940417846,0.32851581410928204,1.0,0.8322222222222222,0.125,0.5321161579654273
P-482AABB718,small,1,high,0.5896344023220468,0.6730594038963318,0.6893911497159437,0.5889178266127904,0.3269405961036682,1.0,0.7869623655913979,0.16666666666666666,0.5440382248022742
P-482AABB718,small,1,low,0.5745131546349236,0.6459416110407222,0.6802434514869343,0.5360181828339894,0.35405838895927777,1.0,0.879813863928113,0.16666666666666666,0.5272368384832485
P-4CD2E82E33,medium,0,high,0.6064870130383607,0.6746251691471447,0.7222214368256656,0.6187343771258991,0.32537483085285535,1.0,0.5242320547509152,0.20833333333333331,0.5627633478204008
P-4CD2E82E33,medium,0,low,0.5697354209919772,0.6337309967387806,0.6760536188429052,0.5849246544142563,0.36626900326121936,1.0,0.9331921447824413,0.041666666666666664,0.5219282455466412
P-4CD2E82E33,medium,1,high,0.5919106550966249,0.7133372073823755,0.7282633835619146,0.6246212882300217,0.28666279261762445,1.0,0.43904991948470207,0.0,0.5465673945518054
P-4CD2E82E33,medium,1,low,0.5920724845068022,0.6874281113797969,0.7178387885743922,0.6071429116030533,0.3125718886202032,1.0,0.9037356321839081,0.08333333333333333,0.5467472050075579
P-4CD2E82E33,small,0,high,0.5994809894399209,0.6769129959019747,0.6868031079118901,0.5971453413367271,0.32308700409802527,1.0,0.5367296119526872,0.25,0.5549788771554678
P-4CD2E82E33,small,0,low,0.5987243036880638,0.6604428887367249,0.681638094511899,0.6275953128933907,0.33955711126327515,1.0,0.7192857142857143,0.20833333333333331,0.5541381152089597
P-4CD2E82E33,small,1,high,0.6082519408879858,0.6808567372235386,0.7273692136461085,0.6192954555153847,0.31914326277646154,1.0,0.6178315412186379,0.20833333333333331,0.5647243787644287
P-4CD2E82E33,small,1,low,0.5753591783344746,0.6639847430315885,0.6829254789785906,0.5702113745113214,0.3360152569684115,1.0,0.5736443883984867,0.08333333333333333,0.528176864816083
P-624C8AC269,medium,0,high,0.5975336979058656,0.7137938006357714,0.731979795477607,0.627958460400502,0.28620619936422864,1.0,0.5125603864734299,0.041666666666666664,0.5528152198954062
P-624C8AC269,medium,0,low,0.5867076743055474,0.7041378075426274,0.7227414873513308,0.6087279804050922,0.2958621924573725,1.0,0.4271844660194175,0.0,0.5407863047839415
P-624C8AC269,medium,1,high,0.5907416138233561,0.6927563846111298,0.7058867703784596,0.6306097730994225,0.30724361538887024,1.0,0.44104970455335424,0.041666666666666664,0.545268459803729
P-624C8AC269,medium,1,low,0.5871526382637746,0.6543412750417537,0.7038396163420244,0.6339196041226387,0.3456587249582464,1.0,0.49429347826086956,0.041666666666666664,0.5412807091819718
P-624C8AC269,small,0,high,0.5840514586278888,0.6504920395937833,0.6830759563229301,0.5577686503529549,0.34950796040621673,1.0,0.26615575807787906,0.20833333333333331,0.5378349540309875
P-624C8AC269,small,0,low,0.5921621654747111,0.7253171503543854,0.7276094366203655,0.5997094822426636,0.2746828496456146,1.0,0.6180555555555556,0.041666666666666664,0.5468468505274567
P-624C8AC269,small,1,high,0.5777721514530254,0.6640011939135464,0.6909250048073856,0.5742684888343017,0.3359988060864535,1.0,0.6355695317959469,0.08333333333333333,0.5308579460589171
P-624C8AC269,small,1,low,0.5807013771524936,0.6499704989519987,0.6968274522911418,0.5691941839953263,0.35002950104800135,1.0,0.4663009404388715,0.125,0.5341126412805484
P-645F09EEB6,medium,0,high,0.6004881461235609,0.7013136609034105,0.7409040088003331,0.6400465580324333,0.29868633909658954,1.0,0.7744604316546763,0.041666666666666664,0.5560979401372899
P-645F09EEB6,medium,0,low,0.6058485917521246,0.6921393166888844,0.715221185575832,0.6554521148403485,0.3078606833111156,1.0,0.7838541666666667,0.125,0.562053990835694
P-645F09EEB6,medium,1,high,0.6039857370835362,0.7092592364007777,0.7260717966339805,0.6267272705833118,0.29074076359922235,1.0,0.7121733015587765,0.125,0.5599841523150404
P-645F09EEB6,medium,1,low,0.6109795532443306,0.6966322389515963,0.7237686162645166,0.6703130304813385,0.3033677610484037,1.0,0.8604166666666666,0.125,0.5677550591603674
P-645F09EEB6,small,0,high,0.5777749517198766,0.6678941656242718,0.6789279444651171,0.5426663979887962,0.33210583437572827,1.0,0.38989524225229155,0.16666666666666666,0.5308610574665295
P-645F09EEB6,small,0,low,0.5742583282517664,0.6362776024775072,0.6819348714568398,0.5795513018965721,0.3637223975224928,1.0,0.5671296296296297,0.08333333333333333,0.5269536980575182
P-645F09EEB6,small,1,high,0.5723595577884804,0.6651780253106898,0.6858010373332284,0.5309077389538288,0.33482197468931024,1.0,0.3774193548387097,0.125,0.5248439530983116
P-645F09EEB6,small,1,low,0.5954842818957387,0.6943586333231493,0.7175900746475566,0.537652018169562,0.3056413666768507,1.0,0.41839080459770117,0.25,0.5505380909952652
P-6742519DE7,medium,0,high,0.6032290615141391,0.6417608206922358,0.6783477095040408,0.5794171877205372,0.3582391793077642,1.0,0.4329776158250911,0.375,0.5591434016823769
P-6742519DE7,medium,0,low,0.6116571309891614,0.7221866250038147,0.7445052130655809,0.661020462711652,0.2778133749961853,1.0,0.3866229418596707,0.08333333333333333,0.5685079233212904
P-6742519DE7,medium,1,high,0.5854344742993514,0.6426055295900865,0.6789093532345511,0.5519602534671624,0.35739447040991346,1.0,0.5322957491709376,0.25,0.5393716381103904
P-6742519DE7,medium,1,low,0.5969565090808001,0.6676489114761353,0.71733297272162,0.6419584502776463,0.33235108852386475,1.0,0.5146281999187322,0.08333333333333333,0.5521738989786669
P-6742519DE7,small,0,high,0.5660367846037403,0.619614767757329,0.6585359383713115,0.5285072674353918,0.38038523224267096,1.0,0.5057300509337861,0.16666666666666666,0.5178186495597112
P-6742519DE7,small,0,low,0.5838556583632123,0.6559318886561827,0.6731259064240889,0.5848531077305477,0.34406811134381726,1.0,0.47868663594470046,0.16666666666666666,0.537617398181347
P-6742519DE7,small,1,high,0.5820690049140742,0.6787150366739794,0.6903419169512662,0.5681455892821152,0.3212849633260207,1.0,0.6062686567164179,0.125,0.5356322276823047
P-6742519DE7,small,1,low,0.581958631516406,0.6718546152114868,0.6916360909288579,0.5488964257140954,0.3281453847885132,1.0,0.6041965566714491,0.16666666666666666,0.5355095905737844
P-6EEA879104,medium,0,high,0.5725028555727366,0.6400440281087703,0.6938176994973964,0.5986745643119018,0.3599559718912298,1.0,0.316837750880956,0.0,0.5250031728585962
P-6EEA879104,medium,0,low,0.6036317329966661,0.6886387684128501,0.7183086546984585,0.6638639594117801,0.3113612315871499,1.0,0.6665714285714286,0.08333333333333333,0.55959081444074
P-6EEA879104,medium,1,high,0.5889876500223623,0.6709474650296299,0.7061866982416674,0.6116111526886623,0.32905253497037024,1.0,0.3155727155727156,0.08333333333333333,0.5433196111359581
P-6EEA879104,medium,1,low,0.5973959208889441,0.6772157576951113,0.7021787383339622,0.654526320596536,0.3227842423048886,1.0,0.6409558378705384,0.08333333333333333,0.5526621343210489
P-6EEA879104,small,0,high,0.5798325563244747,0.6998877633701671,0.7126292369582437,0.5240896629790465,0.3001122366298329,1.0,0.7670250896057347,0.125,0.5331472848049719
P-6EEA879104,small,0,low,0.570345511084253,0.6515416828068821,0.6700862510637804,0.5642037962873777,0.34845831719311804,1.0,0.494314381270903,0.08333333333333333,0.5226061234269479
P-6EEA879104,small,1,high,0.5789246658258366,0.6690055457028476,0.6950903507796201,0.552530205498139,0.33099445429715246,1.0,0.8787878787878788,0.125,0.5321385175842629
P-6EEA879104,small,1,low,0.5707255459644578,0.6263607279820875,0.6607739220965992,0.5463401104013125,0.3736392720179124,1.0,0.7464022464022464,0.16666666666666666,0.523028384404953
P-9E130A1DDC,medium,0,high,0.605922018307628,0.7223911502144553,0.7372294745661996,0.6395183751980464,0.2776088497855447,1.0,0.6321070234113713,0.08333333333333333,0.5621355758973645
P-9E130A1DDC,medium,0,low,0.5832688519900495,0.6487559838728472,0.668075908314098,0.6113903596997261,0.35124401612715284,1.0,0.6832159177456207,0.125,0.536965391100055
P-9E130A1DDC,medium,1,high,0.5932248496196486,0.6816438165577975,0.7060023275288668,0.6276333456238111,0.3183561834422025,1.0,0.6695374800637959,0.08333333333333333,0.5480276106884985
P-9E130A1DDC,medium,1,low,0.5795064162801612,0.6357386735352604,0.6745256862857125,0.6134703916807969,0.36426132646473974,1.0,0.7663003663003662,0.08333333333333333,0.5327849069779569
P-9E130A1DDC,small,0,high,0.5750281968803117,0.5906659256328235,0.6521327197551727,0.5943419684966406,0.4093340743671764,1.0,0.7474120082815734,0.16666666666666666,0.5278091076447907
P-9E130A1DDC,small,0,low,0.5725133937190878,0.6149779829111965,0.6450274099003185,0.5558839005728562,0.38502201708880335,1.0,0.7084751005258274,0.20833333333333331,0.5250148819100977
P-9E130A1DDC,small,1,high,0.5945009316007296,0.6980469037186016,0.7156200950795955,0.6161944443980852,0.30195309628139844,1.0,0.9768702088289717,0.08333333333333333,0.5494454795563661
P-9E130A1DDC,small,1,low,0.5844475636653829,0.6382153901186856,0.6903452575206757,0.5586181990802288,0.36178460988131433,1.0,0.8227969348659003,0.20833333333333331,0.5382750707393142
